factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_after_funding_long_short_horizon,best_after_funding_long_short_spread,best_after_funding_coverage_rate,best_bucket_tail_diagnosis,best_after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_reasons,review_notes
wq101_alpha3,wq101,conditional,DIRECTION_UNKNOWN,False,open|volume,10,24h,0.01016261,24h,0.110259,72h,-0.00042246,-1.6572,72h,-0.00061346,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.555,2625671,0.20805,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha4,wq101,conditional,DIRECTION_UNKNOWN,False,low,9,4h,0.01106855,4h,0.113422,72h,-0.00212431,-7.132,72h,-0.00238581,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5474,3314107,0.000406,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha5,wq101,conditional,DIRECTION_UNKNOWN,False,open|close|volume|quote_volume,10,1h,0.02051444,1h,0.174173,24h,-0.00024555,-1.5396,24h,-0.00017905,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.5773,3304792,0.003215,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha7,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,67,24h,0.00221838,24h,0.02136,72h,-0.00046293,-1.6469,72h,-0.00071495,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.5058,3306608,0.002668,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha8,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,15,1h,0.01030839,1h,0.088765,72h,-0.00059529,-1.9414,72h,-0.00070142,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5397,3312224,0.000974,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha10,wq101,conditional,DIRECTION_UNKNOWN,False,close,5,1h,0.01190215,1h,0.107507,4h,6.876e-05,1.1554,4h,6.497e-05,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5486,3315183,8.1e-05,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,cost too thin,Conditional direction; weak or no clear IC signal.
wq101_alpha11,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume|quote_volume,4,24h,0.00709056,24h,0.057913,72h,-0.00041674,-1.3592,72h,-0.00064223,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5283,3306162,0.002802,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha13,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,5,24h,0.01724056,24h,0.205364,72h,-0.00113298,-3.8817,72h,-0.00149786,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,True,0.589,3315183,8.1e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|funding-adjusted edge flips,Conditional direction; weak or no clear IC signal.
wq101_alpha14,wq101,conditional,DIRECTION_UNKNOWN,False,open|close|volume,10,24h,0.01672902,24h,0.146851,72h,-0.00095465,-3.2369,72h,-0.00138197,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,ROBUST_SPREAD_NEGATIVE,False,0.5669,3304941,0.003332,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha15,wq101,conditional,DIRECTION_UNKNOWN,False,high|volume,5,72h,0.004495,72h,0.050698,72h,0.00080534,3.7416,72h,0.00083696,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.5162,2668015,0.195409,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction; weak or no clear IC signal.
