factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha60,wq101,conditional,factor_registry,72h,5.683e-05,5.683e-05,0.00031621,0.00031621,0.3118,17726,0.056,17726,185.7,3304792,0.000779,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#60: -((2*scale(rank(close-location-volume)))-scale(rank(ts_argmax(close,10)))); panel rank/scale semantics preserved"
wq101_alpha25,wq101,conditional,factor_registry,1h,0.01962723,0.01962723,0.01956883,0.01956883,22.0248,17786,22.0877,17786,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,4h,0.01729464,0.01729464,0.0173132,0.0173132,19.2845,17784,19.2647,17784,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,24h,0.00841606,0.00841606,0.00864667,0.00864667,9.7233,17764,9.4636,17764,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha25,wq101,conditional,factor_registry,72h,0.00331163,0.00331163,0.00346731,0.00346731,3.961,17716,3.784,17716,185.6,3302102,0.002732,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#25: rank((-returns*adv20*vwap)*(high-close)); vwap derived as quote_volume/volume; rank is cross-sectional per timestamp
wq101_alpha28,wq101,conditional,factor_registry,1h,-0.00677057,-0.00677057,-0.00667524,-0.00667524,-8.1637,17526,-8.2813,17526,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,4h,-0.00898283,-0.00898283,-0.00880423,-0.00880423,-10.6161,17524,-10.8328,17524,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,24h,-0.01555089,-0.01555089,-0.01522686,-0.01522686,-18.1578,17504,-18.5289,17504,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha28,wq101,conditional,factor_registry,72h,-0.01353646,-0.01353646,-0.01302115,-0.01302115,-16.0975,17456,-16.7223,17456,185.6,3300772,0.003134,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#28: scale(correlation(adv20,low,5)+((high+low)/2)-close); panel scale semantics preserved"
wq101_alpha30,wq101,conditional,factor_registry,1h,0.01516341,0.01516341,0.01517724,0.01517724,18.2476,17787,18.2277,17787,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,4h,0.01445885,0.01445885,0.01452516,0.01452516,17.3471,17785,17.2621,17785,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,24h,0.00683405,0.00683405,0.00699761,0.00699761,8.4507,17765,8.2505,17765,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha30,wq101,conditional,factor_registry,72h,0.00320088,0.00320088,0.00322301,0.00322301,4.0515,17717,4.0184,17717,185.6,3302281,0.002678,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#30: (1-rank(sum of last three close-delta signs))*sum(volume,5)/sum(volume,20); rank is cross-sectional per timestamp"
wq101_alpha35,wq101,conditional,factor_registry,1h,0.02608825,0.02608825,0.02608321,0.02608321,28.6492,17774,28.6541,17774,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
wq101_alpha35,wq101,conditional,factor_registry,4h,0.02420373,0.02420373,0.02428962,0.02428962,26.7301,17772,26.6335,17772,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
wq101_alpha35,wq101,conditional,factor_registry,24h,0.01562008,0.01562008,0.01591827,0.01591827,17.8212,17752,17.4713,17752,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
wq101_alpha35,wq101,conditional,factor_registry,72h,0.00893394,0.00893394,0.00894079,0.00894079,10.3842,17704,10.3611,17704,186.1,3307651,0.001056,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#35: ts_rank(volume,32)*(1-ts_rank(close+high-low,16))*(1-ts_rank(returns,32)); adapted to 1h panel"
wq101_alpha43,wq101,conditional,factor_registry,1h,0.009322,0.009322,0.00925391,0.00925391,11.3384,17768,11.4201,17768,185.5,3297170,0.004221,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#43: ts_rank(volume/adv20,20)*ts_rank(-delta(close,7),8); adapted to 1h panel"
wq101_alpha43,wq101,conditional,factor_registry,4h,0.00856634,0.00856634,0.00847785,0.00847785,10.2753,17766,10.3763,17766,185.5,3297170,0.004221,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#43: ts_rank(volume/adv20,20)*ts_rank(-delta(close,7),8); adapted to 1h panel"
wq101_alpha43,wq101,conditional,factor_registry,24h,0.00843566,0.00843566,0.00818161,0.00818161,9.9509,17746,10.2489,17746,185.5,3297170,0.004221,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#43: ts_rank(volume/adv20,20)*ts_rank(-delta(close,7),8); adapted to 1h panel"
wq101_alpha43,wq101,conditional,factor_registry,72h,0.00604682,0.00604682,0.00575331,0.00575331,7.1738,17698,7.5264,17698,185.5,3297170,0.004221,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#43: ts_rank(volume/adv20,20)*ts_rank(-delta(close,7),8); adapted to 1h panel"
wq101_alpha52,wq101,conditional,factor_registry,1h,0.00505411,0.00505411,0.00502447,0.00502447,5.4415,17566,5.473,17566,185.1,3251699,0.017954,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#52: -delta(ts_min(low,5),5)*rank((sum(returns,240)-sum(returns,20))/220)*ts_rank(volume,5); rank is cross-sectional per timestamp"
wq101_alpha52,wq101,conditional,factor_registry,4h,0.00911774,0.00911774,0.00914367,0.00914367,9.6491,17564,9.6222,17564,185.1,3251699,0.017954,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#52: -delta(ts_min(low,5),5)*rank((sum(returns,240)-sum(returns,20))/220)*ts_rank(volume,5); rank is cross-sectional per timestamp"
wq101_alpha52,wq101,conditional,factor_registry,24h,0.00769851,0.00769851,0.0077016,0.0077016,7.9644,17544,7.9642,17544,185.1,3251699,0.017954,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#52: -delta(ts_min(low,5),5)*rank((sum(returns,240)-sum(returns,20))/220)*ts_rank(volume,5); rank is cross-sectional per timestamp"
wq101_alpha52,wq101,conditional,factor_registry,72h,0.0039773,0.0039773,0.00379157,0.00379157,4.0522,17496,4.2522,17496,185.1,3251699,0.017954,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#52: -delta(ts_min(low,5),5)*rank((sum(returns,240)-sum(returns,20))/220)*ts_rank(volume,5); rank is cross-sectional per timestamp"
wq101_alpha47,wq101,conditional,factor_registry,1h,0.00477706,0.00477706,0.00490896,0.00490896,5.6056,17786,5.4554,17786,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,4h,0.00417459,0.00417459,0.0045457,0.0045457,5.0797,17784,4.6661,17784,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,24h,-0.00717495,-0.00717495,-0.00630681,-0.00630681,-6.8493,17764,-7.7916,17764,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha47,wq101,conditional,factor_registry,72h,-0.01268019,-0.01268019,-0.01175093,-0.01175093,-13.0633,17716,-14.1052,17716,185.6,3302102,1.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#47: rank(1/close)*volume/adv20*high*rank(high-close)/(sum(high,5)/5)-rank(vwap-delay(vwap,5)); panel rank semantics preserved"
wq101_alpha61,wq101,conditional,factor_registry,1h,-0.00114311,-0.00114311,-0.00120189,-0.00120189,-1.4836,17609,-1.4109,17609,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,4h,-0.0023779,-0.0023779,-0.00250931,-0.00250931,-3.0308,17607,-2.8714,17607,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,24h,-0.01262803,-0.01262803,-0.01280774,-0.01280774,-15.4317,17587,-15.2084,17587,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha61,wq101,conditional,factor_registry,72h,-0.01904629,-0.01904629,-0.01937432,-0.01937432,-22.7273,17539,-22.3377,17539,184.8,3254491,0.014435,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#61: rank(vwap-ts_min(vwap,16)) < rank(correlation(vwap,adv180,18)); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,1h,-0.00028475,-0.00028475,-0.00039659,-0.00039659,-0.5022,17728,-0.3606,17728,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,4h,0.00053701,0.00053701,0.00028306,0.00028306,0.3465,17726,0.6574,17726,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,24h,-0.00609978,-0.00609978,-0.00678029,-0.00678029,-8.0952,17706,-7.2789,17706,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
wq101_alpha65,wq101,conditional,factor_registry,72h,-0.01342693,-0.01342693,-0.01442459,-0.01442459,-17.5226,17658,-16.313,17658,185.4,3287235,0.004519,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#65: -1*(rank(correlation(open/vwap blend,sum(adv60,9),6)) < rank(open-ts_min(open,14))); boolean panel formula"
wq101_alpha68,wq101,conditional,factor_registry,1h,0.0113255,0.0113255,0.01137384,0.01137384,7.9995,14890,7.9643,14890,54.6,967060,0.707143,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#68: -1*(ts_rank(correlation(rank(high),rank(adv15),9),14) < rank(delta(close/low blend,1))); boolean panel formula"
wq101_alpha68,wq101,conditional,factor_registry,4h,0.00801456,0.00801456,0.00805251,0.00805251,5.647,14888,5.6221,14888,54.6,967060,0.707143,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#68: -1*(ts_rank(correlation(rank(high),rank(adv15),9),14) < rank(delta(close/low blend,1))); boolean panel formula"
wq101_alpha68,wq101,conditional,factor_registry,24h,0.0028537,0.0028537,0.0029334,0.0029334,2.0737,14868,2.0175,14868,54.6,967060,0.707143,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#68: -1*(ts_rank(correlation(rank(high),rank(adv15),9),14) < rank(delta(close/low blend,1))); boolean panel formula"
wq101_alpha68,wq101,conditional,factor_registry,72h,0.00291031,0.00291031,0.00275324,0.00275324,1.9544,14820,2.0643,14820,54.6,967060,0.707143,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#68: -1*(ts_rank(correlation(rank(high),rank(adv15),9),14) < rank(delta(close/low blend,1))); boolean panel formula"
wq101_alpha74,wq101,conditional,factor_registry,1h,0.00604439,0.00604439,0.00597821,0.00597821,7.9155,17716,8.0053,17716,146.0,2587031,0.216563,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#74: -1*(rank(correlation(close,sum(adv30,37),15)) < rank(correlation(rank(high/vwap blend),rank(volume),11))); boolean panel formula"
wq101_alpha74,wq101,conditional,factor_registry,4h,0.0086149,0.0086149,0.00851325,0.00851325,11.0712,17714,11.2018,17714,146.0,2587031,0.216563,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#74: -1*(rank(correlation(close,sum(adv30,37),15)) < rank(correlation(rank(high/vwap blend),rank(volume),11))); boolean panel formula"
wq101_alpha74,wq101,conditional,factor_registry,24h,0.01045119,0.01045119,0.01009733,0.01009733,12.9197,17694,13.3689,17694,146.0,2587031,0.216563,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#74: -1*(rank(correlation(close,sum(adv30,37),15)) < rank(correlation(rank(high/vwap blend),rank(volume),11))); boolean panel formula"
wq101_alpha74,wq101,conditional,factor_registry,72h,0.00903625,0.00903625,0.00872161,0.00872161,11.281,17646,11.6845,17646,146.0,2587031,0.216563,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#74: -1*(rank(correlation(close,sum(adv30,37),15)) < rank(correlation(rank(high/vwap blend),rank(volume),11))); boolean panel formula"
wq101_alpha75,wq101,conditional,factor_registry,1h,0.00829807,0.00829807,0.00826775,0.00826775,10.2427,17745,10.2806,17745,133.2,2363750,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#75: rank(correlation(vwap,volume,4)) < rank(correlation(rank(low),rank(adv50),12)); boolean panel formula"
wq101_alpha75,wq101,conditional,factor_registry,4h,0.0106826,0.0106826,0.01054148,0.01054148,12.9572,17743,13.13,17743,133.2,2363750,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#75: rank(correlation(vwap,volume,4)) < rank(correlation(rank(low),rank(adv50),12)); boolean panel formula"
wq101_alpha75,wq101,conditional,factor_registry,24h,0.0112691,0.0112691,0.01094147,0.01094147,13.5749,17723,13.9778,17723,133.2,2363750,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#75: rank(correlation(vwap,volume,4)) < rank(correlation(rank(low),rank(adv50),12)); boolean panel formula"
wq101_alpha75,wq101,conditional,factor_registry,72h,0.00773525,0.00773525,0.00727467,0.00727467,8.9559,17675,9.525,17675,133.2,2363750,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#75: rank(correlation(vwap,volume,4)) < rank(correlation(rank(low),rank(adv50),12)); boolean panel formula"
wq101_alpha77,wq101,conditional,factor_registry,1h,-0.00300531,-0.00300531,-0.00306414,-0.00306414,-3.9004,17740,-3.8254,17740,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,4h,-0.00263833,-0.00263833,-0.00274969,-0.00274969,-3.4715,17738,-3.3309,17738,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,24h,-0.010735,-0.010735,-0.01111851,-0.01111851,-13.7766,17718,-13.2935,17718,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha77,wq101,conditional,factor_registry,72h,-0.01273317,-0.01273317,-0.01299011,-0.01299011,-16.0401,17670,-15.7191,17670,185.2,3285947,0.006011,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#77: min(rank(decay_linear(mid-vwap,20)), rank(decay_linear(correlation(mid,adv40,3),6))); decimal windows mapped to nearest integer"
wq101_alpha78,wq101,conditional,factor_registry,1h,-0.00098703,-0.00098703,-0.00085806,-0.00085806,-1.0105,17716,-1.1622,17716,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,4h,-0.00326431,-0.00326431,-0.00300483,-0.00300483,-3.4748,17714,-3.7724,17714,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,24h,-0.00750694,-0.00750694,-0.00694093,-0.00694093,-7.9997,17694,-8.6439,17694,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha78,wq101,conditional,factor_registry,72h,-0.00772576,-0.00772576,-0.00662066,-0.00662066,-7.701,17646,-8.9808,17646,136.0,2409238,0.271213,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#78: rank(correlation(sum(low/vwap blend,20),sum(adv40,20),7)) ^ rank(correlation(rank(vwap),rank(volume),6))"
wq101_alpha83,wq101,conditional,factor_registry,1h,0.02314648,0.02314648,0.02312357,0.02312357,26.8987,17799,26.9196,17799,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
wq101_alpha83,wq101,conditional,factor_registry,4h,0.01491077,0.01491077,0.01489862,0.01489862,17.2035,17797,17.2173,17797,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
wq101_alpha83,wq101,conditional,factor_registry,24h,0.00375025,0.00375025,0.00388847,0.00388847,4.5287,17777,4.3678,17777,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
wq101_alpha83,wq101,conditional,factor_registry,72h,-0.00021642,-0.00021642,-9.262e-05,-9.262e-05,-0.1103,17729,-0.2577,17729,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))"
wq101_alpha85,wq101,conditional,factor_registry,1h,0.00022227,0.00022227,0.00029247,0.00029247,0.3835,17768,0.2915,17768,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))"
wq101_alpha85,wq101,conditional,factor_registry,4h,-4.761e-05,-4.761e-05,0.00011079,0.00011079,0.1416,17766,-0.0608,17766,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))"
wq101_alpha85,wq101,conditional,factor_registry,24h,-0.00488367,-0.00488367,-0.00466581,-0.00466581,-5.805,17746,-6.0689,17746,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))"
wq101_alpha85,wq101,conditional,factor_registry,72h,-0.00576867,-0.00576867,-0.00533475,-0.00533475,-6.9618,17698,-7.5221,17698,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))"
wq101_alpha86,wq101,conditional,factor_registry,1h,0.01161036,0.01161036,0.01162156,0.01162156,15.2795,17748,15.264,17748,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula"
wq101_alpha86,wq101,conditional,factor_registry,4h,0.00786476,0.00786476,0.00787786,0.00787786,10.16,17746,10.1429,17746,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula"
wq101_alpha86,wq101,conditional,factor_registry,24h,0.00204194,0.00204194,0.00207685,0.00207685,2.6762,17726,2.6308,17726,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula"
wq101_alpha86,wq101,conditional,factor_registry,72h,0.00061213,0.00061213,0.00063214,0.00063214,0.8289,17678,0.8026,17678,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula"
wq101_alpha88,wq101,conditional,factor_registry,1h,0.01721831,0.01721831,0.01700636,0.01700636,18.3346,17683,18.5675,17683,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))"
wq101_alpha88,wq101,conditional,factor_registry,4h,0.02496153,0.02496153,0.02458883,0.02458883,26.2568,17681,26.652,17681,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))"
wq101_alpha88,wq101,conditional,factor_registry,24h,0.0329002,0.0329002,0.0321597,0.0321597,33.9311,17661,34.7231,17661,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))"
wq101_alpha88,wq101,conditional,factor_registry,72h,0.03298187,0.03298187,0.03212581,0.03212581,34.532,17613,35.4308,17613,122.0,2161019,0.346298,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#88: min(rank(decay_linear(rank(open)+rank(low)-rank(high)-rank(close),8)), ts_rank(decay_linear(correlation(ts_rank(close,8),ts_rank(adv60,21),8),7),3))"
wq101_alpha92,wq101,conditional,factor_registry,1h,0.00639645,0.00639645,0.00641457,0.00641457,3.8283,12603,3.8206,12603,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))"
wq101_alpha92,wq101,conditional,factor_registry,4h,0.00658558,0.00658558,0.00682115,0.00682115,4.0597,12600,3.9172,12600,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))"
wq101_alpha92,wq101,conditional,factor_registry,24h,0.00419764,0.00419764,0.00423971,0.00423971,2.4868,12580,2.4612,12580,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))"
wq101_alpha92,wq101,conditional,factor_registry,72h,0.00138663,0.00138663,0.00149836,0.00149836,0.8869,12532,0.8216,12532,39.2,682006,0.793695,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#92: min(ts_rank(decay_linear(mid+close < low+open,15),19), ts_rank(decay_linear(correlation(rank(low),rank(adv30),8),7),7))"
wq101_alpha94,wq101,conditional,factor_registry,1h,0.00298902,0.00298902,0.00277061,0.00277061,2.9389,17724,3.1705,17724,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)"
wq101_alpha94,wq101,conditional,factor_registry,4h,0.00485278,0.00485278,0.00446538,0.00446538,4.5765,17722,4.9734,17722,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)"
wq101_alpha94,wq101,conditional,factor_registry,24h,-0.00423356,-0.00423356,-0.00510702,-0.00510702,-5.1366,17702,-4.2573,17702,171.6,3042114,0.07977,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#94: -rank(vwap-ts_min(vwap,12)) ^ ts_rank(correlation(ts_rank(vwap,20),ts_rank(adv60,4),18),3)"
