factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha12,wq101,conditional,factor_registry,4h,0.00829002,0.00829002,0.00820265,0.00820265,11.1912,17802,11.308,17802,186.2,3315993,0.666693,False,DIRECTION_UNKNOWN,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1
wq101_alpha12,wq101,conditional,factor_registry,24h,0.00763536,0.00763536,0.00743313,0.00743313,9.9932,17782,10.2673,17782,186.2,3315993,0.666693,False,DIRECTION_UNKNOWN,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1
wq101_alpha12,wq101,conditional,factor_registry,72h,0.00669814,0.00669814,0.00638714,0.00638714,8.611,17734,9.0301,17734,186.2,3315993,0.666693,False,DIRECTION_UNKNOWN,sign(dvol) * (-dclose); lookback=2 because delta(1) needs t and t-1
wq101_alpha53,wq101,conditional,factor_registry,1h,0.01810015,0.01810015,0.018057,0.018057,21.9813,17797,22.033,17797,186.2,3313865,0.666907,False,DIRECTION_UNKNOWN,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9"
wq101_alpha53,wq101,conditional,factor_registry,4h,0.0137346,0.0137346,0.01371479,0.01371479,16.7467,17795,16.7732,17795,186.2,3313865,0.666907,False,DIRECTION_UNKNOWN,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9"
wq101_alpha53,wq101,conditional,factor_registry,24h,0.00546173,0.00546173,0.00546308,0.00546308,6.5671,17775,6.5648,17775,186.2,3313865,0.666907,False,DIRECTION_UNKNOWN,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9"
wq101_alpha53,wq101,conditional,factor_registry,72h,0.00291939,0.00291939,0.00285726,0.00285726,3.5275,17727,3.6037,17727,186.2,3313865,0.666907,False,DIRECTION_UNKNOWN,"-delta(intraday_position, 9); lookback=10 because diff(9) needs t and t-9"
wq101_alpha1,wq101,conditional,factor_registry,1h,0.01228229,0.01228229,0.01229479,0.01229479,15.6104,17785,15.5912,17785,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha1,wq101,conditional,factor_registry,4h,0.01331451,0.01331451,0.0133232,0.0133232,16.9893,17783,16.9762,17783,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
wq101_alpha1,wq101,conditional,factor_registry,24h,0.00484306,0.00484306,0.00495409,0.00495409,6.3359,17763,6.1891,17763,186.0,3310109,0.001612,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#1: rank(ts_argmax(signedpower(returns<0 ? stddev(returns,20) : close,2),5))-0.5; panel rank semantics preserved"
