factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
wq101_alpha77,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,-0.00263833
wq101_alpha78,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,-0.00098703
wq101_alpha83,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.02314648
wq101_alpha85,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.00022227
wq101_alpha86,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,1h,0.01161036
wq101_alpha88,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.03298187
wq101_alpha92,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,4h,0.00658558
wq101_alpha94,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.00485278
wq101_alpha95,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.00025596
wq101_alpha99,wq101,conditional,False,DIRECTION_UNKNOWN,0,4,24h,0.0074119
