factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.0581733
a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,conditional,False,DIRECTION_UNKNOWN,0,4,72h,0.05747455
