factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha32,wq101,conditional,factor_registry,1h,0.00035449,0.00035449,0.3876,17571,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved"
wq101_alpha32,wq101,conditional,factor_registry,4h,0.00146273,0.00146273,1.5284,17569,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved"
wq101_alpha32,wq101,conditional,factor_registry,24h,0.00022847,0.00022847,0.2394,17549,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved"
wq101_alpha32,wq101,conditional,factor_registry,72h,-0.00069905,-0.00069905,-0.7602,17501,184.6,3244267,0.021709,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#32: scale(mean(close,7)-close)+20*scale(correlation(vwap,delay(close,5),230)); panel rank/scale semantics preserved"
wq101_alpha33,wq101,conditional,factor_registry,1h,0.03655526,0.03655526,30.7335,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved
wq101_alpha33,wq101,conditional,factor_registry,4h,0.02817563,0.02817563,23.943,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved
wq101_alpha33,wq101,conditional,factor_registry,24h,0.01195082,0.01195082,10.3927,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved
wq101_alpha33,wq101,conditional,factor_registry,72h,0.00454869,0.00454869,4.1353,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,WorldQuant 101 Alpha#33: rank(-1*(1-open/close)); panel rank semantics preserved
wq101_alpha37,wq101,conditional,factor_registry,1h,0.01413215,0.01413215,16.1559,17606,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved"
wq101_alpha37,wq101,conditional,factor_registry,4h,0.01255925,0.01255925,14.056,17604,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved"
wq101_alpha37,wq101,conditional,factor_registry,24h,0.00652274,0.00652274,7.1227,17584,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved"
wq101_alpha37,wq101,conditional,factor_registry,72h,0.00428587,0.00428587,4.7437,17536,184.8,3254133,0.018734,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#37: rank(correlation(delay(open-close,1),close,200))+rank(open-close); panel rank semantics preserved"
wq101_alpha38,wq101,conditional,factor_registry,1h,0.03540221,0.03540221,31.8892,17797,186.2,3313838,0.00073,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#38: -rank(ts_rank(close,10))*rank(close/open); panel rank semantics preserved"
wq101_alpha38,wq101,conditional,factor_registry,4h,0.02884304,0.02884304,26.3134,17795,186.2,3313838,0.00073,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#38: -rank(ts_rank(close,10))*rank(close/open); panel rank semantics preserved"
wq101_alpha38,wq101,conditional,factor_registry,24h,0.01009023,0.01009023,9.3521,17775,186.2,3313838,0.00073,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#38: -rank(ts_rank(close,10))*rank(close/open); panel rank semantics preserved"
wq101_alpha38,wq101,conditional,factor_registry,72h,0.00047853,0.00047853,0.4695,17727,186.2,3313838,0.00073,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#38: -rank(ts_rank(close,10))*rank(close/open); panel rank semantics preserved"
