factor_name,category,expected_direction,used_in_current_signal,status,horizons_computed,horizons_total,best_adj_ic_horizon,best_adj_ic
funding_rate_level_20h,funding_rate,negative,False,COMPUTED,4,4,72h,-0.01027415
funding_rate_zscore_80h,funding_rate,negative,False,COMPUTED,4,4,24h,-0.00521047
funding_rate_change_24h,funding_rate,negative,False,COMPUTED,4,4,24h,-0.00157992
