factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status,long_short_return,long_leg_return,short_leg_return,positive_ls
wq101_alpha29,wq101,conditional,1h,2024-06,LONG_SHORT,Long-Short,-0.00010693,,708,,DIRECTION_UNKNOWN,-0.00010693,-0.00039406,-0.00028713,False
wq101_alpha29,wq101,conditional,1h,2024-07,LONG_SHORT,Long-Short,-0.00010191,,744,,DIRECTION_UNKNOWN,-0.00010191,-5.557e-05,4.634e-05,False
wq101_alpha29,wq101,conditional,1h,2024-08,LONG_SHORT,Long-Short,3.105e-05,,744,,DIRECTION_UNKNOWN,3.105e-05,-0.00015403,-0.00018508,True
wq101_alpha29,wq101,conditional,1h,2024-09,LONG_SHORT,Long-Short,0.00013215,,720,,DIRECTION_UNKNOWN,0.00013215,0.00034553,0.00021338,True
wq101_alpha29,wq101,conditional,1h,2024-10,LONG_SHORT,Long-Short,0.00021866,,744,,DIRECTION_UNKNOWN,0.00021866,0.00010597,-0.00011268,True
wq101_alpha29,wq101,conditional,1h,2024-11,LONG_SHORT,Long-Short,5.624e-05,,720,,DIRECTION_UNKNOWN,5.624e-05,0.00084063,0.00078438,True
wq101_alpha29,wq101,conditional,1h,2024-12,LONG_SHORT,Long-Short,0.00011219,,744,,DIRECTION_UNKNOWN,0.00011219,-5.269e-05,-0.00016487,True
wq101_alpha29,wq101,conditional,1h,2025-01,LONG_SHORT,Long-Short,9.782e-05,,744,,DIRECTION_UNKNOWN,9.782e-05,-0.00010074,-0.00019856,True
wq101_alpha29,wq101,conditional,1h,2025-02,LONG_SHORT,Long-Short,-4.045e-05,,672,,DIRECTION_UNKNOWN,-4.045e-05,-0.00040669,-0.00036624,False
wq101_alpha29,wq101,conditional,1h,2025-03,LONG_SHORT,Long-Short,0.00030789,,744,,DIRECTION_UNKNOWN,0.00030789,-0.00012381,-0.0004317,True
wq101_alpha29,wq101,conditional,1h,2025-04,LONG_SHORT,Long-Short,-2.097e-05,,720,,DIRECTION_UNKNOWN,-2.097e-05,0.00016341,0.00018438,False
wq101_alpha29,wq101,conditional,1h,2025-05,LONG_SHORT,Long-Short,0.0001166,,744,,DIRECTION_UNKNOWN,0.0001166,0.00017172,5.512e-05,True
wq101_alpha29,wq101,conditional,1h,2025-06,LONG_SHORT,Long-Short,0.00013973,,720,,DIRECTION_UNKNOWN,0.00013973,-0.00014022,-0.00027995,True
wq101_alpha29,wq101,conditional,1h,2025-07,LONG_SHORT,Long-Short,0.00012706,,744,,DIRECTION_UNKNOWN,0.00012706,0.00030147,0.0001744,True
wq101_alpha29,wq101,conditional,1h,2025-08,LONG_SHORT,Long-Short,-0.00011079,,744,,DIRECTION_UNKNOWN,-0.00011079,0.00014409,0.00025488,False
wq101_alpha29,wq101,conditional,1h,2025-09,LONG_SHORT,Long-Short,-9.614e-05,,720,,DIRECTION_UNKNOWN,-9.614e-05,2.45e-06,9.859e-05,False
wq101_alpha29,wq101,conditional,1h,2025-10,LONG_SHORT,Long-Short,-0.00015486,,744,,DIRECTION_UNKNOWN,-0.00015486,-0.00016462,-9.75e-06,False
wq101_alpha29,wq101,conditional,1h,2025-11,LONG_SHORT,Long-Short,-0.00033048,,720,,DIRECTION_UNKNOWN,-0.00033048,-0.00037828,-4.78e-05,False
wq101_alpha29,wq101,conditional,1h,2025-12,LONG_SHORT,Long-Short,-9.235e-05,,744,,DIRECTION_UNKNOWN,-9.235e-05,-8.557e-05,6.78e-06,False
wq101_alpha29,wq101,conditional,1h,2026-01,LONG_SHORT,Long-Short,-8.623e-05,,744,,DIRECTION_UNKNOWN,-8.623e-05,-0.00015139,-6.516e-05,False
wq101_alpha29,wq101,conditional,1h,2026-02,LONG_SHORT,Long-Short,-0.00011376,,672,,DIRECTION_UNKNOWN,-0.00011376,-0.0002315,-0.00011774,False
wq101_alpha29,wq101,conditional,1h,2026-03,LONG_SHORT,Long-Short,-9.255e-05,,744,,DIRECTION_UNKNOWN,-9.255e-05,-8.146e-05,1.109e-05,False
wq101_alpha29,wq101,conditional,1h,2026-04,LONG_SHORT,Long-Short,-6.35e-05,,720,,DIRECTION_UNKNOWN,-6.35e-05,0.00035393,0.00041743,False
wq101_alpha29,wq101,conditional,1h,2026-05,LONG_SHORT,Long-Short,5.992e-05,,744,,DIRECTION_UNKNOWN,5.992e-05,0.0001302,7.028e-05,True
wq101_alpha29,wq101,conditional,1h,2026-06,LONG_SHORT,Long-Short,-9.611e-05,,288,,DIRECTION_UNKNOWN,-9.611e-05,-0.00046647,-0.00037036,False
wq101_alpha29,wq101,conditional,4h,2024-06,LONG_SHORT,Long-Short,-0.00053022,,708,,DIRECTION_UNKNOWN,-0.00053022,-0.00159859,-0.00106837,False
wq101_alpha29,wq101,conditional,4h,2024-07,LONG_SHORT,Long-Short,0.00048126,,744,,DIRECTION_UNKNOWN,0.00048126,0.00014943,-0.00033183,True
wq101_alpha29,wq101,conditional,4h,2024-08,LONG_SHORT,Long-Short,0.00057372,,744,,DIRECTION_UNKNOWN,0.00057372,-0.00036724,-0.00094096,True
wq101_alpha29,wq101,conditional,4h,2024-09,LONG_SHORT,Long-Short,-3.738e-05,,720,,DIRECTION_UNKNOWN,-3.738e-05,0.00111209,0.00114946,False
wq101_alpha29,wq101,conditional,4h,2024-10,LONG_SHORT,Long-Short,0.00054532,,744,,DIRECTION_UNKNOWN,0.00054532,5.868e-05,-0.00048664,True
wq101_alpha29,wq101,conditional,4h,2024-11,LONG_SHORT,Long-Short,0.0003289,,720,,DIRECTION_UNKNOWN,0.0003289,0.00310515,0.00277625,True
wq101_alpha29,wq101,conditional,4h,2024-12,LONG_SHORT,Long-Short,-0.00040579,,744,,DIRECTION_UNKNOWN,-0.00040579,-0.00059788,-0.00019209,False
wq101_alpha29,wq101,conditional,4h,2025-01,LONG_SHORT,Long-Short,-5.577e-05,,744,,DIRECTION_UNKNOWN,-5.577e-05,-0.00087224,-0.00081647,False
wq101_alpha29,wq101,conditional,4h,2025-02,LONG_SHORT,Long-Short,-0.00094971,,672,,DIRECTION_UNKNOWN,-0.00094971,-0.00193653,-0.00098682,False
wq101_alpha29,wq101,conditional,4h,2025-03,LONG_SHORT,Long-Short,0.00032067,,744,,DIRECTION_UNKNOWN,0.00032067,-0.00090849,-0.00122916,True
wq101_alpha29,wq101,conditional,4h,2025-04,LONG_SHORT,Long-Short,0.00010536,,720,,DIRECTION_UNKNOWN,0.00010536,0.00083651,0.00073115,True
wq101_alpha29,wq101,conditional,4h,2025-05,LONG_SHORT,Long-Short,0.00053208,,744,,DIRECTION_UNKNOWN,0.00053208,0.00057627,4.419e-05,True
wq101_alpha29,wq101,conditional,4h,2025-06,LONG_SHORT,Long-Short,0.00064403,,720,,DIRECTION_UNKNOWN,0.00064403,-0.00034067,-0.0009847,True
wq101_alpha29,wq101,conditional,4h,2025-07,LONG_SHORT,Long-Short,0.00030702,,744,,DIRECTION_UNKNOWN,0.00030702,0.00105713,0.00075011,True
wq101_alpha29,wq101,conditional,4h,2025-08,LONG_SHORT,Long-Short,-0.00072643,,744,,DIRECTION_UNKNOWN,-0.00072643,0.00027904,0.00100547,False
wq101_alpha29,wq101,conditional,4h,2025-09,LONG_SHORT,Long-Short,-0.00054552,,720,,DIRECTION_UNKNOWN,-0.00054552,0.0001196,0.00066512,False
wq101_alpha29,wq101,conditional,4h,2025-10,LONG_SHORT,Long-Short,-0.00046622,,744,,DIRECTION_UNKNOWN,-0.00046622,-0.00045134,1.488e-05,False
wq101_alpha29,wq101,conditional,4h,2025-11,LONG_SHORT,Long-Short,-0.00033269,,720,,DIRECTION_UNKNOWN,-0.00033269,-0.00117483,-0.00084214,False
wq101_alpha29,wq101,conditional,4h,2025-12,LONG_SHORT,Long-Short,2.651e-05,,744,,DIRECTION_UNKNOWN,2.651e-05,2.004e-05,-6.46e-06,True
wq101_alpha29,wq101,conditional,4h,2026-01,LONG_SHORT,Long-Short,-0.00012075,,744,,DIRECTION_UNKNOWN,-0.00012075,-0.0004331,-0.00031235,False
wq101_alpha29,wq101,conditional,4h,2026-02,LONG_SHORT,Long-Short,-7.618e-05,,672,,DIRECTION_UNKNOWN,-7.618e-05,-0.00048788,-0.0004117,False
wq101_alpha29,wq101,conditional,4h,2026-03,LONG_SHORT,Long-Short,0.000188,,744,,DIRECTION_UNKNOWN,0.000188,-6.454e-05,-0.00025254,True
wq101_alpha29,wq101,conditional,4h,2026-04,LONG_SHORT,Long-Short,-0.00019432,,720,,DIRECTION_UNKNOWN,-0.00019432,0.0013159,0.00151022,False
wq101_alpha29,wq101,conditional,4h,2026-05,LONG_SHORT,Long-Short,-0.00034794,,744,,DIRECTION_UNKNOWN,-0.00034794,0.00022002,0.00056795,False
wq101_alpha29,wq101,conditional,4h,2026-06,LONG_SHORT,Long-Short,-0.0011439,,285,,DIRECTION_UNKNOWN,-0.0011439,-0.00206886,-0.00092496,False
