factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
q158_volume_ratio_1h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,2,1h,0.00339198,1h,0.03385,72h,-0.00093285,-3.3058,0.5165,3315993,8e-05,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
q158_volume_ratio_2h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,3,4h,0.00492837,4h,0.047536,72h,-0.00099567,-3.3828,0.5228,3315727,0.00016,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
q158_volume_ratio_3h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,4,4h,0.00654671,4h,0.061838,72h,-0.00111411,-3.7433,0.5261,3315461,0.000241,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
q158_volume_ratio_4h,alpha158_volume,conditional,DIRECTION_UNKNOWN,False,volume,5,4h,0.00687462,4h,0.063883,72h,-0.0011486,-3.8252,0.5245,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction; weak or no clear IC signal.
