asset,mode,market_cost_bps,net_ret,confirmed_at_close,preview_only,lead_minutes,entry_improve_bps
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.0011883859114365514,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.011560757479077477,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.007017088997174348,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.009087338492149488,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.0031344878289858435,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.0016817735735842332,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.023257687990570597,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.0007677927452856004,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.015879605392837504,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.013418353810528139,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.0035850429834139996,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.0038612661257686476,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.0018453733341198264,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.013946818229143565,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.01306926653072682,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.00525190399479758,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.01509788625541253,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.008796267186104934,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.012850919075650724,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-1.0282871477973465e-05,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.015103840609707708,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.006823485814631547,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.00234140816963746,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.019898738056267185,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.003228306034302131,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.004189510323518553,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.002098054798061466,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.008925159765142077,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,-0.006032544967742082,1,0,0.0,0.0
BTC-USD,official_close_fixed_hold_corrected,6.0,0.003354406284957756,1,0,0.0,0.0
